date,open,high,low,close,volume,amount,code,name,industry,ret,is_extreme,hs300_close,商品,cpi_yoy,预测值,前值,m2_yoy
2020-01-02,4.11669104,4.19318361,4.10973717,4.15146039,234949397,1404442753.0,601398,工商银行,银行,,False,4152.241,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-03,4.15146039,4.18622974,4.14450652,4.16536813,152213047,911951562.0,601398,工商银行,银行,0.0033444847228473,False,4144.965,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-06,4.14450652,4.20709135,4.13755265,4.15146039,226509705,1359917424.0,601398,工商银行,银行,-0.0033444847228473,False,4129.295,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-07,4.15841426,4.20013748,4.15841426,4.17927587,116804353,701615827.0,601398,工商银行,银行,0.0066778211426054,False,4160.227,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-08,4.14450652,4.15146039,4.1027833,4.10973717,158559090,940552725.0,601398,工商银行,银行,-0.0167789171291093,False,4112.317,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-09,4.13755265,4.14450652,4.08887556,4.10973717,137713429,813806686.0,601398,工商银行,银行,0.0,False,4164.37,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-10,4.10973717,4.12364491,4.07496782,4.10973717,97837773,576580178.0,601398,工商银行,银行,0.0,False,4163.185,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-13,4.1027833,4.12364491,4.08192169,4.12364491,108991003,642791834.0,601398,工商银行,银行,0.0033783815916274,False,4203.988,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-14,4.11669104,4.14450652,4.10973717,4.13059878,136770059,812389848.0,601398,工商银行,银行,0.0016849203649192,False,4189.886,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-15,4.12364491,4.13059878,4.08192169,4.08887556,128890756,759512875.0,601398,工商银行,银行,-0.0101523714640179,False,4166.734,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-16,4.08192169,4.09582943,4.02629073,4.0332446,269031344,1572007903.0,601398,工商银行,银行,-0.0136988443581619,False,4149.043,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-17,4.04019847,4.06106008,4.0332446,4.04715234,103949027,605076653.0,601398,工商银行,银行,0.0034423441909729,False,4154.853,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-20,4.04019847,4.07496782,4.0332446,4.06106008,103339962,602786615.0,601398,工商银行,银行,0.0034305350967892,False,4185.83,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-21,4.04715234,4.05410621,4.00542912,4.01238299,143223669,828268482.0,601398,工商银行,银行,-0.0120587163201274,False,4114.309,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-22,4.00542912,4.02629073,3.97065977,4.02629073,128370788,738870049.0,601398,工商银行,银行,0.0034602110648958,False,4131.931,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-01-23,4.00542912,4.01933686,3.9637059,3.97761364,200037655,1146238550.0,601398,工商银行,银行,-0.0121634861931974,False,4003.901,中国CPI月率报告,0.0,0.3,0.4,8.4
2020-02-03,3.6855511,3.88025946,3.6855511,3.76899754,468039904,2524272183.0,601398,工商银行,银行,-0.0538729899401516,False,3688.358,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-04,3.74813593,3.84549011,3.72727432,3.8246285,401385264,2178867252.0,601398,工商银行,银行,0.0146522767868704,False,3785.638,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-05,3.81767463,3.83853624,3.76899754,3.81767463,250853805,1374458723.0,601398,工商银行,银行,-0.0018198367169859,False,3828.527,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-06,3.8246285,3.84549011,3.78290528,3.8246285,280995424,1538957671.0,601398,工商银行,银行,0.0018198367169861,False,3899.775,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-07,3.80376689,3.80376689,3.7550898,3.78290528,237318996,1288428158.0,601398,工商银行,银行,-0.010969031370574,False,3899.869,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-10,3.76204367,3.77595141,3.74118206,3.76899754,190238633,1027646561.0,601398,工商银行,银行,-0.0036832454162964,False,3916.005,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-11,3.77595141,3.80376689,3.76204367,3.79681302,198498450,1081002724.0,601398,工商银行,银行,0.0073529743052589,False,3952.464,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-12,3.79681302,3.80376689,3.76899754,3.79681302,203914433,1109148701.0,601398,工商银行,银行,0.0,False,3984.433,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-13,3.78985915,3.78985915,3.7550898,3.76204367,199565762,1082005691.0,601398,工商银行,银行,-0.0091996968984234,False,3959.919,中国CPI月率报告,1.4,0.8,0.4,8.8
2020-02-14,3.7550898,3.78290528,3.74813593,3.77595141,141576448,767126663.0,601398,工商银行,银行,0.0036900410874537,False,3987.734,中国CPI月率报告,1.4,0.8,0.4,8.8
